year,round,grid,positionOrder
2018,1,3,1
2018,1,1,2
2018,1,2,3
2018,1,8,4
2018,1,10,5
2018,1,4,6
2018,1,7,7
2018,1,15,8
2018,1,11,9
2018,1,9,10
2018,1,12,11
2018,1,14,12
2018,1,18,13
2018,1,13,14
2018,1,16,15
2018,1,6,16
2018,1,5,17
2018,1,20,18
2018,1,17,19
2018,1,19,20
2018,2,1,1
2018,2,3,2
2018,2,9,3
2018,2,5,4
2018,2,6,5
2018,2,7,6
2018,2,13,7
2018,2,14,8
2018,2,17,9
2018,2,8,10
2018,2,10,11
2018,2,19,12
2018,2,16,13
2018,2,20,14
2018,2,18,15
2018,2,12,16
2018,2,11,17
2018,2,2,18
2018,2,15,19
2018,2,4,20
2018,3,6,1
2018,3,3,2
2018,3,2,3
2018,3,4,4
2018,3,5,5
2018,3,7,6
2018,3,13,7
2018,3,1,8
2018,3,9,9
2018,3,11,10
2018,3,12,11
2018,3,8,12
2018,3,14,13
2018,3,18,14
2018,3,16,15
2018,3,20,16
2018,3,10,17
2018,3,17,18
2018,3,19,19
2018,3,15,20
2018,4,2,1
2018,4,6,2
2018,4,8,3
2018,4,1,4
2018,4,9,5
2018,4,13,6
2018,4,12,7
2018,4,10,8
2018,4,16,9
2018,4,19,10
2018,4,18,11
2018,4,17,12
2018,4,15,13
2018,4,3,14
2018,4,20,15
2018,4,5,16
2018,4,4,17
2018,4,14,18
2018,4,7,19
2018,4,11,20
2018,5,1,1
2018,5,2,2
2018,5,5,3
2018,5,3,4
2018,5,6,5
2018,5,7,6
2018,5,9,7
2018,5,8,8
2018,5,15,9
2018,5,14,10
2018,5,18,11
2018,5,20,12
2018,5,17,13
2018,5,19,14
2018,5,11,15
2018,5,13,16
2018,5,4,17
2018,5,10,18
2018,5,12,19
2018,5,16,20
2018,6,1,1
2018,6,2,2
2018,6,3,3
2018,6,4,4
2018,6,5,5
2018,6,6,6
2018,6,10,7
2018,6,11,8
2018,6,20,9
2018,6,8,10
2018,6,16,11
2018,6,9,12
2018,6,19,13
2018,6,12,14
2018,6,18,15
2018,6,13,16
2018,6,17,17
2018,6,14,18
2018,6,15,19
2018,6,7,20
2018,7,1,1
2018,7,2,2
2018,7,3,3
2018,7,6,4
2018,7,4,5
2018,7,5,6
2018,7,7,7
2018,7,9,8
2018,7,8,9
2018,7,13,10
2018,7,16,11
2018,7,20,12
2018,7,11,13
2018,7,10,14
2018,7,19,15
2018,7,15,16
2018,7,18,17
2018,7,14,18
2018,7,12,19
2018,7,17,20
2018,8,1,1
2018,8,4,2
2018,8,6,3
2018,8,5,4
2018,8,3,5
2018,8,9,6
2018,8,2,7
2018,8,7,8
2018,8,12,9
2018,8,8,10
2018,8,10,11
2018,8,17,12
2018,8,15,13
2018,8,20,14
2018,8,18,15
2018,8,16,16
2018,8,19,17
2018,8,13,18
2018,8,11,19
2018,8,14,20
2018,9,4,1
2018,9,3,2
2018,9,6,3
2018,9,5,4
2018,9,8,5
2018,9,11,6
2018,9,16,7
2018,9,13,8
2018,9,18,9
2018,9,20,10
2018,9,12,11
2018,9,9,12
2018,9,17,13
2018,9,14,14
2018,9,15,15
2018,9,2,16
2018,9,19,17
2018,9,7,18
2018,9,1,19
2018,9,10,20
2018,10,2,1
2018,10,1,2
2018,10,3,3
2018,10,4,4
2018,10,6,5
2018,10,11,6
2018,10,10,7
2018,10,13,8
2018,10,7,9
2018,10,12,10
2018,10,17,11
2018,10,19,12
2018,10,14,13
2018,10,18,14
2018,10,0,20
2018,10,5,15
2018,10,8,16
2018,10,16,17
2018,10,15,18
2018,10,9,19
2018,11,14,1
2018,11,2,2
2018,11,3,3
2018,11,4,4
2018,11,7,5
2018,11,6,6
2018,11,10,7
2018,11,15,8
2018,11,13,9
2018,11,17,10
2018,11,5,11
2018,11,8,12
2018,11,19,13
2018,11,16,14
2018,11,9,15
2018,11,11,16
2018,11,18,17
2018,11,1,18
2018,11,12,19
2018,11,20,20
2018,12,1,1
2018,12,4,2
2018,12,3,3
2018,12,12,4
2018,12,2,5
2018,12,6,6
2018,12,9,7
2018,12,11,8
2018,12,5,9
2018,12,10,10
2018,12,8,11
2018,12,13,12
2018,12,18,13
2018,12,19,14
2018,12,14,15
2018,12,20,16
2018,12,15,17
2018,12,16,18
2018,12,7,19
2018,12,17,20
2018,13,2,1
2018,13,1,2
2018,13,7,3
2018,13,19,4
2018,13,4,5
2018,13,3,6
2018,13,5,7
2018,13,9,8
2018,13,10,9
2018,13,13,10
2018,13,14,11
2018,13,16,12
2018,13,17,13
2018,13,11,14
2018,13,18,15
2018,13,8,16
2018,13,6,17
2018,13,12,18
2018,13,15,19
2018,13,20,20
2018,14,3,1
2018,14,1,2
2018,14,4,3
2018,14,2,4
2018,14,5,5
2018,14,8,6
2018,14,14,7
2018,14,7,8
2018,14,10,9
2018,14,12,10
2018,14,15,11
2018,14,17,12
2018,14,20,13
2018,14,9,14
2018,14,18,15
2018,14,11,16
2018,14,19,17
2018,14,13,18
2018,14,16,19
2018,14,6,20
2018,15,1,1
2018,15,2,2
2018,15,3,3
2018,15,4,4
2018,15,5,5
2018,15,6,6
2018,15,11,7
2018,15,12,8
2018,15,13,9
2018,15,10,10
2018,15,14,11
2018,15,18,12
2018,15,15,13
2018,15,20,14
2018,15,8,15
2018,15,7,16
2018,15,17,17
2018,15,16,18
2018,15,19,19
2018,15,9,20
2018,16,2,1
2018,16,1,2
2018,16,3,3
2018,16,4,4
2018,16,19,5
2018,16,18,6
2018,16,7,7
2018,16,5,8
2018,16,6,9
2018,16,8,10
2018,16,9,11
2018,16,12,12
2018,16,10,13
2018,16,16,14
2018,16,14,15
2018,16,15,16
2018,16,11,17
2018,16,13,18
2018,16,17,19
2018,16,20,20
2018,17,1,1
2018,17,2,2
2018,17,3,3
2018,17,15,4
2018,17,4,5
2018,17,8,6
2018,17,9,7
2018,17,5,8
2018,17,11,9
2018,17,13,10
2018,17,7,11
2018,17,20,12
2018,17,6,13
2018,17,18,14
2018,17,19,15
2018,17,17,16
2018,17,14,17
2018,17,10,18
2018,17,16,19
2018,17,12,20
2018,18,2,1
2018,18,18,2
2018,18,1,3
2018,18,5,4
2018,18,3,5
2018,18,7,6
2018,18,11,7
2018,18,10,8
2018,18,20,9
2018,18,16,10
2018,18,17,11
2018,18,19,12
2018,18,14,13
2018,18,15,14
2018,18,9,15
2018,18,4,16
2018,18,8,17
2018,18,13,18
2018,18,6,19
2018,18,12,20
2018,19,2,1
2018,19,4,2
2018,19,6,3
2018,19,3,4
2018,19,5,5
2018,19,7,6
2018,19,9,7
2018,19,15,8
2018,19,10,9
2018,19,20,10
2018,19,11,11
2018,19,17,12
2018,19,19,13
2018,19,14,14
2018,19,16,15
2018,19,18,16
2018,19,1,17
2018,19,13,18
2018,19,8,19
2018,19,12,20
2018,20,1,1
2018,20,5,2
2018,20,4,3
2018,20,11,4
2018,20,3,5
2018,20,2,6
2018,20,7,7
2018,20,8,8
2018,20,10,9
2018,20,12,10
2018,20,16,11
2018,20,15,12
2018,20,9,13
2018,20,20,14
2018,20,18,15
2018,20,14,16
2018,20,17,17
2018,20,19,18
2018,20,13,19
2018,20,6,20
2018,21,1,1
2018,21,3,2
2018,21,6,3
2018,21,5,4
2018,21,2,5
2018,21,11,6
2018,21,8,7
2018,21,14,8
2018,21,7,9
2018,21,13,10
2018,21,15,11
2018,21,16,12
2018,21,20,13
2018,21,18,14
2018,21,19,15
2018,21,17,16
2018,21,9,17
2018,21,12,18
2018,21,4,19
2018,21,10,20
2019,1,2,1
2019,1,1,2
2019,1,4,3
2019,1,3,4
2019,1,5,5
2019,1,7,6
2019,1,11,7
2019,1,9,8
2019,1,16,9
2019,1,15,10
2019,1,17,11
2019,1,8,12
2019,1,10,13
2019,1,13,14
2019,1,14,15
2019,1,19,16
2019,1,20,17
2019,1,6,18
2019,1,12,19
2019,1,18,20
2019,2,3,1
2019,2,4,2
2019,2,1,3
2019,2,5,4
2019,2,2,5
2019,2,9,6
2019,2,8,7
2019,2,13,8
2019,2,12,9
2019,2,14,10
2019,2,16,11
2019,2,15,12
2019,2,6,13
2019,2,18,14
2019,2,19,15
2019,2,20,16
2019,2,17,17
2019,2,10,18
2019,2,7,19
2019,2,11,20
2019,3,2,1
2019,3,1,2
2019,3,3,3
2019,3,5,4
2019,3,4,5
2019,3,6,6
2019,3,7,7
2019,3,12,8
2019,3,13,9
2019,3,0,10
2019,3,10,11
2019,3,16,12
2019,3,9,13
2019,3,14,14
2019,3,19,15
2019,3,17,16
2019,3,18,17
2019,3,15,18
2019,3,11,19
2019,3,8,20
2019,4,1,1
2019,4,2,2
2019,4,3,3
2019,4,4,4
2019,4,8,5
2019,4,5,6
2019,4,9,7
2019,4,7,8
2019,4,13,9
2019,4,0,10
2019,4,11,11
2019,4,17,12
2019,4,12,13
2019,4,15,14
2019,4,16,15
2019,4,0,16
2019,4,0,17
2019,4,14,18
2019,4,6,19
2019,4,10,20
2019,5,2,1
2019,5,1,2
2019,5,4,3
2019,5,3,4
2019,5,5,5
2019,5,6,6
2019,5,8,7
2019,5,12,8
2019,5,9,9
2019,5,7,10
2019,5,11,11
2019,5,13,12
2019,5,0,13
2019,5,14,14
2019,5,15,15
2019,5,18,16
2019,5,19,17
2019,5,17,18
2019,5,16,19
2019,5,10,20
2019,6,1,1
2019,6,4,2
2019,6,2,3
2019,6,3,4
2019,6,8,5
2019,6,9,6
2019,6,7,7
2019,6,10,8
2019,6,6,9
2019,6,13,10
2019,6,12,11
2019,6,5,14
2019,6,16,12
2019,6,11,13
2019,6,19,15
2019,6,17,16
2019,6,14,17
2019,6,20,18
2019,6,18,19
2019,6,15,20
2019,7,2,1
2019,7,1,2
2019,7,3,3
2019,7,6,4
2019,7,9,5
2019,7,4,6
2019,7,7,7
2019,7,5,8
2019,7,17,9
2019,7,10,10
2019,7,11,11
2019,7,15,12
2019,7,12,13
2019,7,14,14
2019,7,16,15
2019,7,18,16
2019,7,0,17
2019,7,19,18
2019,7,13,19
2019,7,8,20
2019,8,1,1
2019,8,2,2
2019,8,3,3
2019,8,4,4
2019,8,7,5
2019,8,6,6
2019,8,12,7
2019,8,13,8
2019,8,5,9
2019,8,9,10
2019,8,8,11
2019,8,14,12
2019,8,17,13
2019,8,19,14
2019,8,11,15
2019,8,10,16
2019,8,15,17
2019,8,18,18
2019,8,20,19
2019,8,16,20
2019,9,2,1
2019,9,1,2
2019,9,3,3
2019,9,9,4
2019,9,4,5
2019,9,5,6
2019,9,8,7
2019,9,19,8
2019,9,6,9
2019,9,7,10
2019,9,13,11
2019,9,12,12
2019,9,15,13
2019,9,14,14
2019,9,18,15
2019,9,11,16
2019,9,16,17
2019,9,0,18
2019,9,10,19
2019,9,17,20
2019,10,2,1
2019,10,1,2
2019,10,3,3
2019,10,5,4
2019,10,4,5
2019,10,13,6
2019,10,7,7
2019,10,12,8
2019,10,17,9
2019,10,10,10
2019,10,8,11
2019,10,9,12
2019,10,18,13
2019,10,19,14
2019,10,20,15
2019,10,6,16
2019,10,15,17
2019,10,11,18
2019,10,14,19
2019,10,16,20
2019,11,2,1
2019,11,20,2
2019,11,14,3
2019,11,15,4
2019,11,7,5
2019,11,16,6
2019,11,6,7
2019,11,12,8
2019,11,1,9
2019,11,18,10
2019,11,17,11
2019,11,5,12
2019,11,11,13
2019,11,4,14
2019,11,3,15
2019,11,9,16
2019,11,10,17
2019,11,19,18
2019,11,13,19
2019,11,8,20
2019,12,3,1
2019,12,1,2
2019,12,5,3
2019,12,4,4
2019,12,8,5
2019,12,6,6
2019,12,10,7
2019,12,2,8
2019,12,7,9
2019,12,12,10
2019,12,16,11
2019,12,11,12
2019,12,14,13
2019,12,20,14
2019,12,13,15
2019,12,15,16
2019,12,18,17
2019,12,17,18
2019,12,19,19
2019,12,9,20
2019,13,1,1
2019,13,3,2
2019,13,4,3
2019,13,2,4
2019,13,17,5
2019,13,7,6
2019,13,19,7
2019,13,12,8
2019,13,13,9
2019,13,16,10
2019,13,11,11
2019,13,8,12
2019,13,9,13
2019,13,10,14
2019,13,14,15
2019,13,6,16
2019,13,0,17
2019,13,18,18
2019,13,15,19
2019,13,5,20
2019,14,1,1
2019,14,3,2
2019,14,2,3
2019,14,5,4
2019,14,6,5
2019,14,8,6
2019,14,18,7
2019,14,19,8
2019,14,10,9
2019,14,16,10
2019,14,17,11
2019,14,9,12
2019,14,4,13
2019,14,14,14
2019,14,0,15
2019,14,13,16
2019,14,15,17
2019,14,11,18
2019,14,12,19
2019,14,7,20
2019,15,3,1
2019,15,1,2
2019,15,4,3
2019,15,2,4
2019,15,5,5
2019,15,6,6
2019,15,9,7
2019,15,11,8
2019,15,8,9
2019,15,10,10
2019,15,17,11
2019,15,7,12
2019,15,16,13
2019,15,20,14
2019,15,14,15
2019,15,19,16
2019,15,13,17
2019,15,12,18
2019,15,15,19
2019,15,18,20
2019,16,2,1
2019,16,4,2
2019,16,1,3
2019,16,9,4
2019,16,0,5
2019,16,5,6
2019,16,11,7
2019,16,7,8
2019,16,13,9
2019,16,6,10
2019,16,14,11
2019,16,19,12
2019,16,15,13
2019,16,16,14
2019,16,12,15
2019,16,18,16
2019,16,17,17
2019,16,3,18
2019,16,10,19
2019,16,8,20
2019,17,3,1
2019,17,1,2
2019,17,4,3
2019,17,6,4
2019,17,7,5
2019,17,2,6
2019,17,9,7
2019,17,17,8
2019,17,12,9
2019,17,14,10
2019,17,8,11
2019,17,13,12
2019,17,10,13
2019,17,11,14
2019,17,19,15
2019,17,18,16
2019,17,0,17
2019,17,5,18
2019,17,16,19
2019,17,15,20
2019,18,3,1
2019,18,2,2
2019,18,6,3
2019,18,1,4
2019,18,5,5
2019,18,4,6
2019,18,11,7
2019,18,13,8
2019,18,10,9
2019,18,12,10
2019,18,9,11
2019,18,16,12
2019,18,7,13
2019,18,15,14
2019,18,17,15
2019,18,19,16
2019,18,18,17
2019,18,20,18
2019,18,14,19
2019,18,8,20
2020,1,1,1
2019,19,1,1
2019,19,5,2
2019,19,3,3
2019,19,4,4
2019,19,6,5
2019,19,9,6
2019,19,8,7
2019,19,7,8
2019,19,11,9
2019,19,0,10
2019,19,17,11
2019,19,13,12
2019,19,14,13
2019,19,16,14
2019,19,15,15
2019,19,10,16
2019,19,18,17
2019,19,12,18
2019,19,19,19
2019,19,2,20
2019,20,1,1
2019,20,6,2
2019,20,20,3
2019,20,8,4
2019,20,12,5
2019,20,11,6
2019,20,3,7
2019,20,10,8
2019,20,15,9
2019,20,16,10
2019,20,9,11
2019,20,18,12
2019,20,7,13
2019,20,5,14
2019,20,13,15
2019,20,19,16
2019,20,2,17
2019,20,14,18
2019,20,17,19
2019,20,4,20
2019,21,1,1
2019,21,2,2
2019,21,3,3
2019,21,20,4
2019,21,4,5
2019,21,5,6
2019,21,10,7
2019,21,6,8
2019,21,13,9
2019,21,8,10
2019,21,7,11
2019,21,9,12
2019,21,17,13
2019,21,14,14
2019,21,15,15
2019,21,16,16
2019,21,18,17
2019,21,11,18
2019,21,19,19
2019,21,12,20
2020,1,7,2
2020,1,3,3
2020,1,5,4
2020,1,8,5
2020,1,6,6
2020,1,12,7
2020,1,14,8
2020,1,18,9
2020,1,11,10
2020,1,20,11
2020,1,13,12
2020,1,4,13
2020,1,19,14
2020,1,17,15
2020,1,15,16
2020,1,16,17
2020,1,9,18
2020,1,10,19
2020,1,2,20
2020,2,1,1
2020,2,4,2
2020,2,2,3
2020,2,6,4
2020,2,9,5
2020,2,17,6
2020,2,12,7
2020,2,8,8
2020,2,3,9
2020,2,13,10
2020,2,16,11
2020,2,15,12
2020,2,0,13
2020,2,19,14
2020,2,7,15
2020,2,11,16
2020,2,18,17
2020,2,5,18
2020,2,14,19
2020,2,10,20
2020,3,1,1
2020,3,7,2
2020,3,2,3
2020,3,3,4
2020,3,13,5
2020,3,5,6
2020,3,4,7
2020,3,11,8
2020,3,9,9
2020,3,0,10
2020,3,6,11
2020,3,17,12
2020,3,8,13
2020,3,14,14
2020,3,20,15
2020,3,0,16
2020,3,19,17
2020,3,12,18
2020,3,15,19
2020,3,10,20
2020,4,1,1
2020,4,3,2
2020,4,4,3
2020,4,8,4
2020,4,5,5
2020,4,9,6
2020,4,11,7
2020,4,12,8
2020,4,6,9
2020,4,10,10
2020,4,2,11
2020,4,20,12
2020,4,7,13
2020,4,15,14
2020,4,18,15
2020,4,17,16
2020,4,16,17
2020,4,19,18
2020,4,14,19
2020,4,13,20
2020,5,4,1
2020,5,2,2
2020,5,1,3
2020,5,8,4
2020,5,9,5
2020,5,6,6
2020,5,3,7
2020,5,14,8
2020,5,10,9
2020,5,16,10
2020,5,7,11
2020,5,11,12
2020,5,12,13
2020,5,5,14
2020,5,20,15
2020,5,13,16
2020,5,19,17
2020,5,15,18
2020,5,18,19
2020,5,17,20
2020,6,1,1
2020,6,3,2
2020,6,2,3
2020,6,5,4
2020,6,4,5
2020,6,7,6
2020,6,11,7
2020,6,6,8
2020,6,10,9
2020,6,8,10
2020,6,13,11
2020,6,12,12
2020,6,15,13
2020,6,14,14
2020,6,16,15
2020,6,20,16
2020,6,18,17
2020,6,19,18
2020,6,17,19
2020,6,9,20
2020,7,1,1
2020,7,2,2
2020,7,3,3
2020,7,4,4
2020,7,6,5
2020,7,5,6
2020,7,10,7
2020,7,12,8
2020,7,9,9
2020,7,8,10
2020,7,11,11
2020,7,16,12
2020,7,14,13
2020,7,13,14
2020,7,17,15
2020,7,19,16
2020,7,20,17
2020,7,18,18
2020,7,15,19
2020,7,7,20
2020,8,10,1
2020,8,3,2
2020,8,8,3
2020,8,6,4
2020,8,2,5
2020,8,7,6
2020,8,1,7
2020,8,12,8
2020,8,11,9
2020,8,4,10
2020,8,20,11
2020,8,16,12
2020,8,14,13
2020,8,19,14
2020,8,9,15
2020,8,18,16
2020,8,5,17
2020,8,13,18
2020,8,15,19
2020,8,17,20
2020,9,1,1
2020,9,2,2
2020,9,4,3
2020,9,8,4
2020,9,7,5
2020,9,11,6
2020,9,12,7
2020,9,5,8
2020,9,13,9
2020,9,14,10
2020,9,18,11
2020,9,15,12
2020,9,6,13
2020,9,10,14
2020,9,19,15
2020,9,20,16
2020,9,17,17
2020,9,9,18
2020,9,3,19
2020,9,16,20
2020,10,3,1
2020,10,2,2
2020,10,1,3
2020,10,4,4
2020,10,5,5
2020,10,10,6
2020,10,7,7
2020,10,11,8
2020,10,9,9
2020,10,15,10
2020,10,17,11
2020,10,18,12
2020,10,14,13
2020,10,19,14
2020,10,8,15
2020,10,20,16
2020,10,16,17
2020,10,13,18
2020,10,6,19
2020,10,12,20
2020,11,2,1
2020,11,3,2
2020,11,6,3
2020,11,9,4
2020,11,10,5
2020,11,12,6
2020,11,4,7
2020,11,20,8
2020,11,16,9
2020,11,14,10
2020,11,11,11
2020,11,19,12
2020,11,15,13
2020,11,18,14
2020,11,13,15
2020,11,8,16
2020,11,5,17
2020,11,7,18
2020,11,1,19
2020,11,17,20
2020,12,1,1
2020,12,2,2
2020,12,3,3
2020,12,4,4
2020,12,9,5
2020,12,7,6
2020,12,5,7
2020,12,11,8
2020,12,10,9
2020,12,15,10
2020,12,16,11
2020,12,6,12
2020,12,8,13
2020,12,14,14
2020,12,17,15
2020,12,19,16
2020,12,18,17
2020,12,20,18
2020,12,13,19
2020,12,12,20
2020,13,2,1
2020,13,1,2
2020,13,5,3
2020,13,8,4
2020,13,7,5
2020,13,11,6
2020,13,10,7
2020,13,9,8
2020,13,18,9
2020,13,20,10
2020,13,19,11
2020,13,14,12
2020,13,15,13
2020,13,16,14
2020,13,6,15
2020,13,13,16
2020,13,3,17
2020,13,17,18
2020,13,12,19
2020,13,4,20
2020,14,6,1
2020,14,3,2
2020,14,11,3
2020,14,12,4
2020,14,15,5
2020,14,2,6
2020,14,4,7
2020,14,14,8
2020,14,1,9
2020,14,5,10
2020,14,7,11
2020,14,16,12
2020,14,19,13
2020,14,9,14
2020,14,8,15
2020,14,0,16
2020,14,13,17
2020,14,17,18
2020,14,0,19
2020,14,10,20
2020,15,1,1
2020,15,3,2
2020,15,4,3
2020,15,9,4
2020,15,15,5
2020,15,8,6
2020,15,6,7
2020,15,2,8
2020,15,7,9
2020,15,12,10
2020,15,10,11
2020,15,14,12
2020,15,11,13
2020,15,20,14
2020,15,17,15
2020,15,16,16
2020,15,18,17
2020,15,5,18
2020,15,13,19
2020,15,19,20
2020,16,5,1
2020,16,11,2
2020,16,10,3
2020,16,8,4
2020,16,7,5
2020,16,12,6
2020,16,6,7
2020,16,1,8
2020,16,2,9
2020,16,19,10
2020,16,9,11
2020,16,13,12
2020,16,14,13
2020,16,18,14
2020,16,15,15
2020,16,17,16
2020,16,20,17
2020,16,16,18
2020,16,3,19
2020,16,4,20
2020,17,1,1
2020,17,2,2
2020,17,3,3
2020,17,5,4
2020,17,4,5
2020,17,6,6
2020,17,11,7
2020,17,9,8
2020,17,10,9
2020,17,8,10
2020,17,7,11
2020,17,15,12
2020,17,12,13
2020,17,13,14
2020,17,16,15
2020,17,14,16
2020,17,18,17
2020,17,20,18
2020,17,17,19
2020,17,19,20
2021,1,2,1
2021,1,1,2
2021,1,3,3
2021,1,7,4
2021,1,0,5
2021,1,4,6
2021,1,6,7
2021,1,8,8
2021,1,13,9
2021,1,10,10
2021,1,14,11
2021,1,12,12
2021,1,16,13
2021,1,15,14
2021,1,20,15
2021,1,18,16
2021,1,5,17
2021,1,17,18
2021,1,9,19
2021,1,19,20
2021,2,3,1
2021,2,1,2
2021,2,7,3
2021,2,4,4
2021,2,11,5
2021,2,6,6
2021,2,5,7
2021,2,10,8
2021,2,9,9
2021,2,15,10
2021,2,2,11
2021,2,20,12
2021,2,16,13
2021,2,17,14
2021,2,0,15
2021,2,18,16
2021,2,19,17
2021,2,8,18
2021,2,12,19
2021,2,14,20
2021,3,2,1
2021,3,3,2
2021,3,1,3
2021,3,4,4
2021,3,7,5
2021,3,8,6
2021,3,6,7
2021,3,13,8
2021,3,16,9
2021,3,9,10
2021,3,5,11
2021,3,12,12
2021,3,10,13
2021,3,17,14
2021,3,14,15
2021,3,11,16
2021,3,19,17
2021,3,18,18
2021,3,20,19
2021,3,15,20
2021,4,1,1
2021,4,2,2
2021,4,3,3
2021,4,4,4
2021,4,8,5
2021,4,7,6
2021,4,6,7
2021,4,9,8
2021,4,5,9
2021,4,12,10
2021,4,11,11
2021,4,17,12
2021,4,13,13
2021,4,15,14
